conidx,dualval
129,-0.07749525869103531
130,-0.07749525869103532
131,-0.06587033461999689
132,-0.07749525869103532
133,-0.0774952586910353
134,-0.0774952586910353
135,-0.07749525869103531
136,-0.07749525869103528
137,-0.07749525869103527
138,-0.07749525869103527
139,-0.07749525869103527
140,-0.07749525869103527
141,-0.0774952586910353
142,-0.07749525869103527
143,-0.07749525869103527
144,-0.0774952586910353
145,-0.0774952586910353
146,-0.0774952586910353
147,-8.341641118107045
148,-9.83560188607257
149,-9.127420723489124
150,-9.897222558484042
151,-8.4641000073959
152,-10.041576436423686
153,-8.673566573402168
154,-10.129077573221931
155,-8.45544949819082
156,-10.107016267524822
157,-10.234015988895257
158,-10.204593799303007
159,-10.296965853372386
160,-10.380492610816363
161,-7.734794417389697
162,-8.998232000000002
163,0.8998231999999975
164,-1.2412031323156718
165,-10.514152709170304
166,-10.451452987379827
167,-3.3767585127515103
168,-3.9968028886505635e-15
169,-10.416968140395067
170,-8.262381244704068
171,-8.899232835290972
172,-10.471914335106169
173,-10.402817427848913
174,-10.477918650419465
175,-10.483846762493826
176,-10.492016483416089
177,-10.490619336749075
178,-10.490619336749075
179,-10.4828355700461
180,-10.49840310345205
181,-10.5007920410625
182,-10.523065970048386
183,-8.94871370303619
184,-10.486878620550138
185,-10.436206103667892
186,-10.467333577449443
187,-10.449067619136326
188,-10.445812934101891
189,-8.940202144089184
190,-10.56203216831122
191,-10.442790726569918
192,-10.445257944457293
193,-10.586257389229349
194,-8.8599380327822
195,-2.9274799933001012
196,-2.928312552285969
197,-2.901274936183858
198,-2.9306620405458745
199,-2.932981710482485
200,-2.9361785218409815
201,-2.935631818425154
202,-2.935631818425154
203,-2.9325860309319465
204,-2.9386776059183553
205,-2.931386027952231
206,-2.5130471340502245
207,-2.5132507957900594
208,-2.9049794783093974
209,-2.848112350132087
210,-2.867884563334935
211,-2.816586786233978
212,-2.7894875880585914
213,-2.925553277980784
214,-2.9756999863684728
215,-2.8101279325373087
216,-2.812666672718665
217,-3.0032806759816943
218,-2.8682526275231095
219,-3.0349910583489383
220,0.0
221,0.0
222,0.0
223,0.0
224,0.0
225,0.0
226,0.0
227,0.0
228,0.0
229,0.0
230,0.0
231,0.0
232,0.0
233,0.0
234,0.0
235,0.0
236,0.0
237,0.0
238,-0.04527254981912498
239,0.0
240,0.0
241,-0.04527254981912498
242,0.0
243,0.0
244,0.0
245,0.0
246,0.0
247,0.0
248,0.0
249,0.0
250,0.0
251,0.0
252,0.0
253,0.0
254,0.0
255,0.0
256,0.5506963597778367
257,0.5715740300016012
258,75.94630134813337
259,0.0
260,0.0
261,0.0
262,0.0
263,0.0
264,0.0
265,0.0
266,0.0
267,0.0
268,-0.03739518941464766
269,0.0
270,0.0
271,-0.03739518941464766
272,0.0
273,0.0
274,0.0
275,0.0
276,0.0
277,0.0
278,0.0
279,0.0
280,0.0
281,0.0
282,0.0
283,-0.03739518941464766
284,0.0
285,0.0
286,0.0
287,0.0
288,0.0
289,0.0
290,0.0
291,0.0
292,0.0
293,0.0
294,0.0
295,0.0
296,0.0
297,0.0
298,0.0
299,0.0
300,0.0
301,0.0
302,0.0
303,0.0
304,0.0
305,0.0
306,0.0
307,0.0
308,0.0
309,0.0
310,0.0
311,0.0
312,0.0
313,0.0
314,0.0
315,0.0
316,0.0
317,0.0
318,0.0
319,0.0
320,0.0
321,0.0
322,0.0
323,0.0
324,0.0
325,0.0
326,0.0
327,0.0
328,0.0
329,0.0
330,0.0
331,0.0
332,0.0
333,0.0
334,0.5506963597778367
335,0.0
336,0.0
337,0.0
338,0.0
339,0.0
340,0.0
341,0.0
342,0.0
343,0.0
344,0.0
345,0.0
346,0.0
347,0.0
348,0.0
349,0.0
350,0.0
351,0.0
352,0.5506963597778367
353,0.0
354,0.0
355,0.0
356,0.0
357,0.0
358,0.0
359,0.0
360,0.0
361,0.0
362,0.0
363,0.0
364,0.0
365,0.0
366,0.0
367,0.0
368,0.0
369,0.0
370,0.0
371,0.0
372,0.0
373,0.0
374,0.0
375,0.0
376,0.0
377,0.0
378,0.0
379,0.0
380,0.0
381,0.0
382,0.0
383,0.0
384,0.0
385,0.0
386,0.0
387,0.0
388,0.0
389,0.0
390,0.0
391,0.0
392,0.0
393,0.0
394,0.0
395,0.0
396,0.0
397,0.0
398,0.0
399,0.0
400,0.0
401,0.0
402,0.0
403,0.0
404,0.0
405,0.0
406,0.0
407,0.0
408,0.0
409,0.0
410,0.0
411,0.0
412,0.0
413,0.0
414,0.0
415,0.04608738820844471
416,0.0
417,0.0
418,0.0
419,0.0
420,0.0
421,0.0
422,0.0
423,0.0
424,0.0
425,0.0
426,0.0
427,0.0
428,0.0
429,0.0
430,0.0
431,0.0
432,0.0
433,0.0
434,0.0
435,0.0
436,0.0
437,0.0
438,0.0
439,0.0
440,0.0
441,0.0
442,0.0
443,0.0
444,0.0
445,0.0
446,0.0
447,0.0
448,0.0
449,0.0
450,0.0
451,0.0
452,0.0
453,0.0
454,0.0
455,0.0
456,0.0
457,0.0
458,0.0
459,0.0
460,0.0
461,0.0
462,0.0
463,0.0
464,0.0
465,0.0
466,0.0
467,0.0
468,0.0
469,0.0
470,0.0
471,0.0
472,0.0
473,0.0
474,0.0
475,-0.04527254981912498
476,0.0
477,0.0
478,-0.04527254981912498
479,0.0
480,0.0
481,0.0
482,0.0
483,0.0
484,0.0
485,0.0
486,0.0
487,0.0
488,0.0
489,0.0
490,0.0
491,0.0
492,0.0
493,-0.5506963597778367
494,-0.5715740300016012
495,-75.94630134813337
496,0.0
497,0.0
498,0.0
499,0.0
500,0.0
501,0.0
502,-0.5506963597778367
503,-0.5715740300016012
504,-75.94630134813337
505,0.0
506,0.5715740300016012
507,75.94630134813337
508,0.5506963597778367
509,0.5715740300016012
510,75.94630134813337
511,0.0
512,0.0
513,0.0
514,0.0
515,0.0
516,0.0
517,0.0
518,0.0
519,0.0
520,0.0
521,0.0
522,0.0
523,0.0
524,0.0
525,0.0
526,0.0
527,0.0
528,0.0
529,0.0
530,0.0
531,-119.3234140516947
532,0.0
533,0.0
534,0.0
535,0.0
536,0.0
537,0.0
538,-0.03739518941464766
539,0.0
540,0.0
541,-0.03739518941464766
542,0.0
543,0.0
544,0.0
545,0.0
546,0.0
547,0.0
548,0.0
549,0.0
550,0.0
551,0.0
552,0.0
553,0.0
554,0.0
555,0.0
556,0.03739518941464766
557,0.0
558,-19.84901056284047
559,0.0
560,0.0
561,0.0
562,0.0
563,0.0
564,0.0
565,0.0
566,0.0
567,0.0
568,0.0
569,0.0
570,0.0
571,0.0
572,0.0
573,0.0
574,0.0
575,0.0
576,0.0
577,0.0
578,0.0
579,0.0
580,0.0
581,0.0
582,0.0
583,0.0
584,0.0
585,0.0
586,0.0
587,0.0
588,0.0
589,0.0
590,0.0
591,0.0
592,0.0
593,0.0
594,0.0
595,0.0
596,0.0
597,0.0
598,0.0
599,0.0
600,0.0
601,0.0
602,0.0
603,0.0
604,0.0
605,0.0
606,0.0
607,0.0
608,0.0
609,0.0
610,0.0
611,0.0
612,0.0
613,0.0
614,0.0
615,0.0
616,0.0
617,0.0
618,0.0
619,0.0
620,0.0
621,0.0
622,0.0
623,0.0
624,0.0
625,0.0
626,0.0
627,0.0
628,0.0
629,0.0
630,0.0
631,0.5506963597778367
632,0.0
633,0.0
634,0.0
635,0.0
636,0.0
637,0.5506963597778367
638,0.0
639,0.0
640,0.0
641,0.0
642,0.0
643,0.0
644,0.0
645,0.0
646,0.0
647,0.0
648,0.0
649,0.0
650,0.0
651,0.0
652,0.0
653,0.0
654,0.0
655,-0.5506963597778367
656,0.0
657,0.0
658,-0.5506963597778367
659,0.0
660,0.0
661,0.0
662,0.0
663,0.0
664,0.0
665,0.0
666,0.0
667,0.0
668,0.0
669,0.0
670,0.0
671,0.0
672,0.0
673,0.5506963597778367
674,0.0
675,0.0
676,0.0
677,0.0
678,0.0
679,0.0
680,0.0
681,0.0
682,0.0
683,0.0
684,0.0
685,0.0
686,0.0
687,0.0
688,0.0
689,0.0
690,0.0
691,0.0
692,0.0
693,0.0
694,1.2684621870856514
695,0.0
696,0.0
697,0.0
698,0.0
699,0.0
700,0.0
701,0.0
702,0.0
703,0.0
704,0.0
705,0.0
706,0.0
707,0.0
708,0.0
709,0.0
710,0.0
711,0.0
712,0.0
713,0.0
714,0.0
715,0.0
716,0.0
717,0.0
718,0.0
719,0.0
720,0.0
721,0.0
722,0.0
723,0.0
724,0.0
725,0.0
726,0.0
727,0.0
728,0.0
729,0.0
730,0.0
731,0.0
732,0.0
733,0.0
734,0.0
735,0.0
736,0.0
737,0.0
738,0.0
739,0.0
740,0.0
741,0.0
742,0.0
743,0.0
744,0.0
745,0.0
746,0.0
747,0.0
748,0.0
749,0.0
750,0.0
751,0.0
752,0.0
753,0.0
754,0.0
755,0.0
756,0.0
757,0.0
758,0.0
759,0.0
760,0.0
761,0.0
762,0.0
763,0.0
764,0.0
765,0.0
766,0.0
767,0.0
768,0.0
769,0.04608738820844471
770,0.0
771,0.0
772,0.04608738820844471
773,0.0
774,60.208504457019515
775,0.04608738820844471
776,0.0
777,0.0
778,0.0
779,0.0
780,0.0
781,0.0
782,0.0
783,0.0
784,0.0
785,0.0
786,0.0
787,0.0
788,0.0
789,0.0
790,0.0
791,0.0
792,0.0
793,0.0
794,0.0
795,0.0
796,0.0
797,0.0
798,0.0
799,0.0
800,0.0
801,0.0
802,0.0
803,0.0
804,0.0
805,0.0
806,0.0
807,0.0
808,0.0
809,0.0
810,0.0
811,0.0
812,0.0
813,0.0
814,0.0
815,0.0
816,0.0
817,0.0
818,0.0
819,0.0
820,0.0
821,0.0
822,0.0
823,0.0
824,0.0
825,0.0
826,0.0
827,0.0
828,0.0
829,0.0
830,0.0
831,0.0
832,0.0
833,0.0
834,0.0
835,0.0
836,0.0
837,0.0
838,0.0
839,0.0
840,0.0
841,0.0
842,0.0
843,0.0
844,0.0
845,0.0
846,0.0
847,0.0
848,0.0
849,0.0
850,0.0
851,0.0
852,0.0
853,0.0
854,0.0
855,0.0
856,0.0
857,0.0
858,0.0
859,0.0
860,0.0
861,0.0
862,0.0
863,0.0
864,0.0
865,0.0
866,0.0
867,0.0
868,0.0
869,0.0
870,0.0
871,0.0
872,0.0
873,0.0
874,0.0
875,0.0
876,0.0
877,0.0
878,0.0
879,0.0
880,0.0
881,0.0
882,0.0
883,0.0
884,0.0
885,0.0
886,0.0
887,0.0
888,0.0
889,0.0
890,0.0
891,0.0
892,0.0
893,0.0
894,0.0
895,0.0
896,0.0
897,0.0
898,0.0
899,0.0
900,0.0
901,0.0
902,0.0
903,0.0
904,0.0
905,0.0
906,0.0
907,0.0
908,0.0
909,0.0
910,0.0
911,0.0
912,0.0
913,0.0
914,0.0
915,0.0
916,0.0
917,0.0
918,0.0
919,0.0
920,0.0
921,0.0
922,0.0
923,0.0
924,0.0
925,0.0
926,0.0
927,0.0
928,0.0
929,0.0
930,0.0
931,0.0
932,0.0
933,0.0
934,0.0
935,0.0
936,0.0
937,0.0
938,0.0
939,0.0
940,0.0
941,0.0
942,0.0
943,0.0
944,0.0
945,0.0
946,0.0
947,0.0
948,0.0
949,0.0
950,0.0
951,0.0
952,0.0
953,0.0
954,0.0
955,0.0
956,0.0
957,0.0
958,0.0
959,0.0
960,0.0
961,0.0
962,0.0
963,0.0
964,0.0
965,0.0
966,0.0
967,0.0
968,0.0
969,0.0
970,0.0
971,0.0
972,0.0
973,0.0
974,0.0
975,0.0
976,0.0
977,0.0
978,0.0
979,0.0
980,0.0
981,0.0
982,0.0
983,0.0
984,0.0
985,0.0
986,0.0
987,0.0
988,0.0
989,0.0
990,0.0
991,0.0
992,0.0
993,0.0
994,0.0
995,0.0
996,0.0
997,0.0
998,0.0
999,0.0
1000,0.0
1001,0.0
1002,0.0
1003,0.0
1004,0.0
1005,0.0
1006,0.0
1007,0.0
1008,0.0
1009,0.0
1010,0.0
1011,0.0
1012,0.0
1013,0.0
1014,7.807999999999993
1015,0.0
1016,0.0
1017,0.0
1018,0.0
1019,0.0
1020,0.0
1021,0.0
1022,0.0
1023,0.0
1024,0.0
1025,0.0
1026,0.0
1027,0.0
1028,0.0
1029,0.0
1030,0.0
1031,0.0
1032,0.0
1033,0.0
1034,0.0
1035,0.0
1036,0.0
1037,0.0
1038,0.0
1039,0.0
1040,0.0
1041,0.0
1042,0.0
1043,0.0
1044,0.0
1045,0.0
1046,0.0
1047,0.0
1048,0.0
1049,0.0
1050,0.0
1051,0.0
1052,0.0
1053,0.0
1054,0.0
1055,0.0
1056,0.0
1057,0.0
1058,0.0
1059,0.0
1060,0.0
1061,0.0
1062,0.0
1063,0.0
1064,0.0
1065,0.0
1066,0.0
1067,0.0
1068,0.0
1069,0.0
1070,0.0
1071,0.0
1072,0.0
1073,0.0
1074,0.0
1075,0.0
1076,0.0
1077,0.0
1078,0.0
1079,0.0
1080,0.0
1081,0.0
1082,0.0
1083,0.0
1084,0.0
1085,0.0
1086,0.0
1087,0.0
1088,0.0
1089,0.0
1090,0.0
1091,0.0
1092,0.0
1093,0.0
1094,0.0
1095,0.0
1096,0.0
1097,0.0
1098,0.0
1099,0.0
1100,0.0
1101,0.0
1102,0.0
1103,0.0
1104,0.0
1105,0.0
1106,0.0
1107,0.0
1108,0.0
1109,0.0
1110,0.0
1111,0.0
1112,0.0
1113,0.0
1114,0.0
1115,0.0
1116,0.0
1117,0.0
1118,0.0
1119,0.0
1120,0.0
1121,0.0
1122,0.0
1123,0.0
1124,0.0
1125,0.0
1126,0.0
1127,0.0
1128,0.0
1129,0.0
1130,0.0
1131,0.0
1132,0.0
1133,0.0
1134,0.0
1135,0.0
1136,0.0
1137,0.0
1138,0.0
1139,0.0
1140,0.0
1141,0.0
1142,0.0
1143,0.0
1144,0.0
1145,0.0
1146,0.0
1147,0.0
1148,0.0
1149,0.0
1150,0.0
1151,0.0
1152,0.0
1153,0.0
1154,0.0
1155,0.0
1156,0.0
1157,0.0
1158,0.0
1159,0.0
1160,0.0
1161,0.0
1162,0.0
1163,0.0
1164,0.0
1165,0.0
1166,0.0
1167,0.0
1168,0.0
1169,0.0
1170,0.0
1171,0.0
1172,0.0
1173,0.0
1174,0.0
1175,0.0
1176,0.0
1177,0.0
1178,0.0
1179,0.0
1180,0.0
1181,0.0
1182,0.0
1183,0.0
1184,0.0
1185,0.0
1186,0.0
1187,0.0
1188,0.0
1189,0.0
1190,0.0
1191,0.0
1192,0.0
1193,0.0
1194,0.0
1195,0.0
1196,0.0
1197,0.0
1198,0.0
1199,0.0
1200,0.0
1201,0.0
1202,0.0
1203,0.0
1204,0.0
1205,0.0
1206,0.0
1207,0.0
1208,0.0
1209,0.0
1210,0.0
1211,0.0
1212,0.0
1213,0.0
1214,0.0
1215,0.0
1216,0.0
1217,0.0
1218,0.0
1219,0.0
1220,0.0
1221,0.0
1222,0.0
1223,0.0
1224,0.0
1225,0.0
1226,0.0
1227,0.0
1228,0.0
1229,0.0
1230,0.0
1231,0.0
1232,0.0
1233,0.0
1234,0.0
1235,0.0
1236,0.0
1237,0.0
1238,0.0
1239,0.0
1240,0.0
1241,0.0
1242,0.0
1243,0.0
1244,0.0
1245,0.0
1246,0.0
1247,0.0
1248,0.0
1249,0.0
1250,0.0
1251,0.0
1252,0.0
1253,0.0
1254,0.0
1255,0.0
1256,0.0
1257,0.0
1258,0.0
1259,0.0
1260,0.0
1261,0.0
1262,0.0
1263,0.0
1264,0.08323034881173658
1265,0.0
1266,0.0
1267,0.0
1268,0.0
1269,0.0
1270,0.0
1271,0.0
1272,0.0
1273,0.0
1274,0.0
1275,0.0
1276,0.0
1277,0.0
1278,0.0
1279,0.0
1280,0.0
1281,0.0
1282,0.0
1283,0.0
1284,0.0
1285,0.0
1286,0.0
1287,0.0
1288,0.0
1289,0.0
1290,0.0
1291,0.0
1292,0.0
1293,0.0
1294,0.0
1295,0.0
1296,0.0
1297,0.0
1298,0.0
1299,0.0
1300,0.0
1301,0.0
1302,0.0
1303,0.0
1304,0.0
1305,0.0
1306,0.0
1307,0.0
1308,0.0
1309,0.0
1310,0.09755664395873176
1311,0.0
1312,0.0
1313,0.0
1314,0.0
1315,0.0
1316,0.0
1317,0.0
1318,0.0
1319,0.0
1320,0.0
1321,0.0
1322,0.0
1323,0.0
1324,0.09691435570437146
1325,0.09690460876654972
1326,0.09721809255882086
1327,0.09687584708101082
1328,0.09685117509267094
1329,0.09681441870967966
1330,0.09353077024092649
1331,0.09492856681336614
1332,0.0968522942046639
1333,0.09678576457702848
1334,0.09731763548629602
1335,0.09711013451092199
1336,0.09718795882162012
1337,0.0
1338,0.097837608281378
1339,0.09876377821121463
1340,0.09450802768552724
1341,0.09559970917746097
1342,0.09827276776543437
1343,0.09784580216040839
1344,0.09661341341997087
1345,0.09578586295787739
1346,0.09761097107764405
1347,0.09760290904217539
1348,0.09681771623387203
1349,0.0967855140214623
1350,0.0978312910433391
1351,0.09669463911495813
1352,0.09660491753932465
1353,0.09648126936526347
1354,0.09650241508565183
1355,0.09650241508565183
1356,0.09662022186868657
1357,0.09638460830261708
1358,0.09629802731772108
1359,0.09606176205896233
1360,0.09597672002094049
1361,0.09638011534910051
1362,0.12427554686837994
1363,0.09649542948841916
1364,0.09677308337167068
1365,0.09676528681649121
1366,0.09596079975422334
1367,0.09549590433318311
1368,0.09675804715810965
1369,0.09676395734609888
1370,0.09524021185161136
1371,0.09715484042536593
1372,0.09150497892320753
1373,0.094994368374822
1374,0.016074522414189177
1375,0.11899922623476644
1376,0.10070607690256794
1377,0.1065580435495298
1378,0.12444433357419038
1379,0.12444433357419038
1380,0.13865674763188673
1381,0.11023191951649403
1382,0.1127105049049354
1383,0.0
1384,0.11095945589264344
1385,0.10286838735486858
1386,0.08382454476952533
1387,0.08904255555834617
1388,0.08523440863499315
1389,0.09106149476774805
1390,0.09408123152976078
1391,0.09846268889620846
1392,0.08839740022186438
1393,0.08715414341315197
1394,0.10087249044775448
1395,0.05815791820331917
1396,0.10051087070011244
1397,0.0
1398,0.0
1399,0.0
1400,0.0
1401,0.0
1402,0.0
1403,0.0
1404,0.0
1405,0.0
1406,0.0
1407,0.0
1408,0.0
1409,0.0
1410,0.0
1411,0.0
1412,0.0
1413,0.0
1414,0.0
1415,0.0
1416,0.0
1417,0.0
1418,0.0
1419,0.0
1420,0.0
1421,0.0
1422,0.0
1423,0.0
1424,0.0
1425,0.0
1426,0.0
1427,0.0
1428,0.0
1429,0.0
1430,0.0
1431,0.0
1432,0.0
1433,0.0
1434,0.0
1435,0.0
1436,0.0
1437,0.0
1438,0.0
1439,0.0
1440,0.0
1441,0.0
1442,0.0
1443,0.0
1444,0.008768840624214416
1445,0.0
1446,0.007109058658799655
1447,0.0
1448,0.013925859000835414
1449,0.0
1450,0.0043679243614182794
1451,0.018109060981831973
1452,0.018109060981831973
1453,0.029027743559573396
1454,0.01881530247512897
1455,0.009094550840128265
1456,0.0
1457,0.007749307993580992
1458,0.00153334716383903
1459,0.0
1460,0.0
1461,0.0
1462,0.0
1463,0.0
1464,0.0
1465,0.0
1466,0.0
1467,-0.0
1468,0.0
1469,0.0
1470,0.022427988210884986
1471,0.0
1472,0.0
1473,0.0
1474,0.0
1475,0.0
1476,0.0
1477,0.0
1478,0.0
1479,0.0
1480,0.0
1481,0.0
1482,0.0
1483,0.0
1484,0.0
1485,0.0
1486,0.0
1487,0.0
1488,0.0
1489,0.0
1490,0.0
1491,0.0
1492,0.0
1493,0.0
1494,0.0
1495,0.0
1496,0.0
1497,0.0
1498,0.0
1499,0.0
1500,0.0
1501,0.0
1502,0.0
1503,0.0
1504,0.0
1505,0.0
1506,0.0
1507,0.0
1508,0.0
1509,0.0
1510,0.0
1511,0.0
1512,0.0
1513,0.0
1514,0.0
1515,0.0
1516,0.0
1517,0.08574078997835094
1518,0.0
1519,0.08574078997835094
1520,0.0
1521,0.0
1522,0.0
1523,0.0
1524,0.0
1525,0.0
1526,0.0
1527,0.08574078997835083
1528,0.0
1529,0.0
1530,0.0
1531,0.0
1532,0.0
1533,0.0
1534,0.0
1535,0.0
1536,0.0
1537,0.0
1538,0.0
1539,0.0
1540,0.0
1541,0.0
1542,0.0
1543,0.07448636749348647
1544,0.10087249044775459
1545,0.10087249044775459
1546,0.1008724904477547
1547,0.10087249044775459
1548,0.10087249044775459
1549,0.10087249044775459
1550,0.10087249044775459
1551,0.10087249044775459
1552,0.10087249044775459
1553,0.10087249044775448
1554,0.10087249044775459
1555,0.10087249044775459
1556,0.10087249044775459
1557,0.10087249044775448
1558,0.10087249044775459
1559,0.10087249044775459
1560,0.10087249044775459
1561,0.10087249044775448
1562,0.10087249044775437
1563,0.10087249044775459
1564,0.10087249044775459
1565,0.10087249044775437
1566,0.10087249044775448
1567,0.10087249044775437
1568,0.10087249044775437
1569,0.10087249044775448
1570,0.10087249044775437
1571,0.10087249044775437
1572,0.1008724904477547
1573,0.10087249044775437
1574,0.10087249044775437
1575,0.10087249044775459
1576,0.10087249044775448
1577,0.10087249044775448
1578,0.10087249044775448
1579,0.10087249044775448
1580,0.10087249044775459
1581,0.10087249044775459
1582,0.10087249044775459
1583,0.10087249044775459
1584,0.10087249044775459
1585,0.10087249044775426
1586,0.10087249044775437
1587,0.10087249044775459
1588,0.10087249044775437
1589,0.10087249044775437
1590,0.0
1591,0.10087249044775437
1592,0.0
1593,0.10087249044775448
1594,0.10087249044775448
1595,0.10087249044775448
1596,0.10087249044775448
1597,0.10087249044775448
1598,0.10087249044775448
1599,0.10087249044775459
1600,0.0
1601,0.10087249044775459
1602,0.10087249044775437
1603,0.10087249044775437
1604,0.10087249044775448
1605,0.10087249044775437
1606,0.10087249044775437
1607,0.10087249044775437
1608,0.10087249044775437
1609,0.10087249044775448
1610,0.10087249044775459
1611,0.10087249044775437
1612,0.10087249044775426
1613,0.10087249044775437
1614,0.10087249044775448
1615,0.10087249044775426
1616,0.0
1617,0.0
1618,0.0
1619,0.0
1620,0.0
1621,0.0
1622,0.0
1623,0.0
1624,0.0
1625,0.0
1626,0.0
1627,0.0
1628,0.0
1629,0.0
1630,0.0
1631,0.0
1632,0.9773184586910328
1633,0.0
1634,0.0
1635,0.0
1636,0.0
1637,0.07749525869103532
1638,0.0
1639,0.0
1640,0.0
1641,0.0
1642,0.0
1643,0.0
1644,0.0
1645,0.0
1646,0.0
1647,0.0
1648,0.0
1649,0.0
1650,0.0
1651,0.0
1652,0.0
1653,0.0
1654,0.0
1655,0.0
1656,0.0
1657,0.0
1658,0.0
1659,0.0
1660,0.0
1661,0.0
1662,0.0
1663,0.0
1664,0.0
1665,0.0
1666,0.0
1667,0.0
1668,0.0
1669,0.0
1670,0.0
1671,0.0
1672,0.0
1673,0.0
1674,0.0
1675,0.0
1676,0.0
1677,0.0
1678,0.0
1679,0.0
1680,0.0
1681,0.0
1682,0.0
1683,0.0
1684,0.0
1685,0.0
1686,0.0
1687,0.0
1688,0.0
1689,10.857981871633996
1690,0.0
1691,0.0
1692,0.0
1693,11.017381728459867
1694,0.0
1695,11.290036011257094
1696,0.0
1697,11.006121705306207
1698,0.0
1699,0.0
1700,0.0
1701,0.0
1702,0.0
1703,0.0
1704,11.712640060799998
1705,0.0
1706,0.0
1707,0.0
1708,0.0
1709,0.0
1710,0.0
1711,0.0
1712,0.0
1713,11.583776792709486
1714,0.0
1715,0.0
1716,0.0
1717,0.0
1718,0.0
1719,0.0
1720,0.0
1721,0.0
1722,0.0
1723,0.0
1724,0.0
1725,11.648184066693489
1726,0.0
1727,0.0
1728,0.0
1729,0.0
1730,0.0
1731,11.637104909554324
1732,0.0
1733,0.0
1734,0.0
1735,0.0
1736,11.532628313981007
1737,0.0
1738,0.0
1739,0.0
1740,0.0
1741,0.0
1742,0.0
1743,0.0
1744,0.0
1745,0.0
1746,0.0
1747,0.0
1748,3.271133322296567
1749,3.271398420668426
1750,0.0
1751,0.0
1752,0.0
1753,0.0
1754,0.0
1755,0.0
1756,0.0
1757,0.0
1758,0.0
1759,0.0
1760,0.0
1761,0.0
1762,0.0
1763,12.80261107658633
1764,11.880799874654798
1765,12.882820250595188
1766,0.0
1767,13.070719941744258
1768,0.0
1769,13.184616685040993
1770,0.0
1771,13.155900362445479
1772,13.321210839462921
1773,13.282913147594712
1774,13.40315016982214
1775,13.511873621872184
1776,10.068073701052683
1777,0.0
1778,0.0
1779,1.6156246617281091
1780,13.68585364622706
1781,13.604239916636132
1782,4.395392009463713
1783,0.0
1784,13.55935236536115
1785,10.754812452526593
1786,0.0
1787,13.630873637691295
1788,13.540932946673479
1789,13.638689215693319
1790,13.646405602975491
1791,13.657039803178336
1792,13.655221193031068
1793,13.655221193031068
1794,13.645089374057164
